"TerritoryDescription","number_of_employees"
Atlanta                                           ,1
Beachwood                                         ,1
Bedford                                           ,1
Bellevue                                          ,1
Bloomfield Hills                                  ,1
Boston                                            ,1
Braintree                                         ,1
Cambridge                                         ,1
Campbell                                          ,1
Cary                                              ,1
Chicago                                           ,1
Colorado Springs                                  ,1
Denver                                            ,1
Edison                                            ,1
Fairport                                          ,1
Findlay                                           ,1
Georgetow                                         ,1
Greensboro                                        ,1
Hoffman Estates                                   ,1
Hollis                                            ,1
Louisville                                        ,1
Mellvile                                          ,1
Menlo Park                                        ,1
Minneapolis                                       ,1
Morristown                                        ,1
New York                                          ,2
Neward                                            ,1
Orlando                                           ,1
Philadelphia                                      ,1
Phoenix                                           ,1
Portsmouth                                        ,1
Providence                                        ,1
Racine                                            ,1
Redmond                                           ,1
Rockville                                         ,1
Roseville                                         ,1
San Francisco                                     ,1
Santa Clara                                       ,1
Santa Cruz                                        ,1
Santa Monica                                      ,1
Savannah                                          ,1
Scottsdale                                        ,1
Seattle                                           ,1
Southfield                                        ,1
Tampa                                             ,1
Troy                                              ,1
Westboro                                          ,1
Wilton                                            ,1
